BHID,FROM,TO,INTERVAL,ZN,PB,FE,AG,XCOLLAR,YCOLLAR,ZCOLLAR,LENGTH,BRG,DIP
3245/149,125.85,126.6,0.75,0.87,0.04,2.67,2.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,126.6,127.5,0.9,17.03,4.0,2.56,2.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,126.6,127.5,0.9,17.03,4.0,2.56,2.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,127.5,128.4,0.9,31.73,4.19,9.83,2.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,127.5,128.4,0.9,31.73,4.19,9.83,2.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,128.4,129.27,0.87,34.28,1.28,6.05,2.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,128.4,129.27,0.87,34.28,1.28,6.05,2.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,129.27,130.17,0.9,36.44,2.7,2.22,2.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,129.27,130.17,0.9,36.44,2.7,2.22,2.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,130.17,130.74,0.57,27.08,1.3,2.83,1.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,130.17,130.74,0.57,27.08,1.3,2.83,1.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,130.74,131.37,0.63,32.64,4.34,1.66,2.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,130.74,131.37,0.63,32.64,4.34,1.66,2.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,131.37,132.45,1.08,17.84,3.15,2.01,3.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/149,131.37,132.45,1.08,17.84,3.15,2.01,3.0,228791.5156,172205.625,1134.709961,142.5,0.0,90.0
3245/150,99.8,101.0,1.2,0.05,0.04,7.64,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,99.8,101.0,1.2,0.05,0.04,7.64,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,101.0,102.05,1.05,0.04,0.05,22.75,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,101.0,102.05,1.05,0.04,0.05,22.75,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,102.05,102.85,0.8,0.03,0.03,12.98,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,102.05,102.85,0.8,0.03,0.03,12.98,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,102.85,103.9,1.05,0.06,0.03,3.16,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,102.85,103.9,1.05,0.06,0.03,3.16,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,103.9,104.7,0.8,25.83,29.06,1.22,134.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,103.9,104.7,0.8,25.83,29.06,1.22,134.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,104.7,105.3,0.6,17.95,12.13,2.44,56.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,104.7,105.3,0.6,17.95,12.13,2.44,56.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,105.3,106.2,0.9,14.59,9.91,2.44,42.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,105.3,106.2,0.9,14.59,9.91,2.44,42.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,106.2,107.0,0.8,12.7,10.8,4.76,53.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,106.2,107.0,0.8,12.7,10.8,4.76,53.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,107.0,107.9,0.9,6.5,1.09,5.32,3.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,107.0,107.9,0.9,6.5,1.09,5.32,3.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,107.9,108.9,1.0,7.58,1.06,4.95,2.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,107.9,108.9,1.0,7.58,1.06,4.95,2.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,108.9,110.0,1.1,3.25,0.11,1.26,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,108.9,110.0,1.1,3.25,0.11,1.26,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,110.0,110.45,0.45,4.64,0.09,1.54,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/150,110.0,110.45,0.45,4.64,0.09,1.54,1.0,228448.375,172209.0156,1137.375977,131.0,0.0,90.0
3245/151,144.25,145.0,0.75,1.15,0.13,2.14,2.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,144.25,145.0,0.75,1.15,0.13,2.14,2.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,145.0,145.6,0.6,4.38,0.34,8.29,2.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,145.0,145.6,0.6,4.38,0.34,8.29,2.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,145.6,146.44,0.84,1.07,0.08,4.53,1.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,145.6,146.44,0.84,1.07,0.08,4.53,1.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,146.44,146.85,0.41,0.66,0.05,2.46,1.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,146.44,146.85,0.41,0.66,0.05,2.46,1.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,146.85,147.54,0.69,21.3,1.66,8.46,1.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,146.85,147.54,0.69,21.3,1.66,8.46,1.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,147.54,148.35,0.81,27.74,5.4,8.93,5.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,147.54,148.35,0.81,27.74,5.4,8.93,5.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,148.35,148.79,0.44,1.65,0.2,6.51,2.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,148.35,148.79,0.44,1.65,0.2,6.51,2.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,148.79,149.46,0.67,1.31,0.18,1.43,3.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/151,148.79,149.46,0.67,1.31,0.18,1.43,3.0,228621.6875,172056.2813,1135.545044,163.0,0.0,90.0
3245/152,142.05,142.5,0.45,2.11,0.22,23.48,9.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,142.05,142.5,0.45,2.11,0.22,23.48,9.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,142.5,142.77,0.27,4.18,0.41,21.06,11.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,142.5,142.77,0.27,4.18,0.41,21.06,11.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,142.77,142.97,0.2,21.4,11.4,7.88,51.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,142.77,142.97,0.2,21.4,11.4,7.88,51.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,142.97,143.65,0.68,32.14,36.75,1.53,138.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,142.97,143.65,0.68,32.14,36.75,1.53,138.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,143.65,144.0,0.35,42.56,14.94,1.22,80.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,143.65,144.0,0.35,42.56,14.94,1.22,80.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,144.0,144.36,0.36,36.59,19.1,2.19,77.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,144.0,144.36,0.36,36.59,19.1,2.19,77.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,144.36,144.95,0.59,9.53,1.25,1.83,12.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,144.36,144.95,0.59,9.53,1.25,1.83,12.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,144.95,145.5,0.55,31.51,37.79,1.75,119.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,144.95,145.5,0.55,31.51,37.79,1.75,119.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,145.5,145.88,0.38,41.0,13.7,3.07,68.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,145.5,145.88,0.38,41.0,13.7,3.07,68.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,145.88,146.26,0.38,4.8,0.44,1.09,5.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,145.88,146.26,0.38,4.8,0.44,1.09,5.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,146.26,146.55,0.29,13.74,3.68,2.04,17.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,146.26,146.55,0.29,13.74,3.68,2.04,17.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,146.55,147.15,0.6,12.6,6.14,2.03,28.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,146.55,147.15,0.6,12.6,6.14,2.03,28.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,147.15,147.9,0.75,36.06,14.03,9.84,124.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,147.15,147.9,0.75,36.06,14.03,9.84,124.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,147.9,148.5,0.6,30.31,15.46,2.63,142.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,147.9,148.5,0.6,30.31,15.46,2.63,142.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,148.5,148.98,0.48,11.75,1.23,1.0,30.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,148.5,148.98,0.48,11.75,1.23,1.0,30.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,148.98,149.36,0.38,44.39,12.1,5.24,104.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,148.98,149.36,0.38,44.39,12.1,5.24,104.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,149.36,150.0,0.64,35.11,9.61,2.13,82.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,149.36,150.0,0.64,35.11,9.61,2.13,82.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,150.0,150.6,0.6,37.21,21.4,2.64,124.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,150.0,150.6,0.6,37.21,21.4,2.64,124.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,150.6,151.27,0.67,29.08,19.19,3.07,117.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,150.6,151.27,0.67,29.08,19.19,3.07,117.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,151.27,151.61,0.34,24.86,8.61,1.3,59.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,151.27,151.61,0.34,24.86,8.61,1.3,59.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,151.61,152.17,0.56,11.73,9.08,0.3,39.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,151.61,152.17,0.56,11.73,9.08,0.3,39.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,152.17,153.0,0.83,25.54,10.65,1.04,48.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,152.17,153.0,0.83,25.54,10.65,1.04,48.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,153.0,153.39,0.39,32.51,9.5,2.67,56.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,153.0,153.39,0.39,32.51,9.5,2.67,56.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,153.39,153.85,0.46,0.94,0.2,1.22,2.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/152,153.39,153.85,0.46,0.94,0.2,1.22,2.0,228646.9219,172130.5625,1136.11499,162.0,0.0,90.0
3245/153,138.71,139.17,0.46,0.47,0.06,2.27,3.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,138.71,139.17,0.46,0.47,0.06,2.27,3.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,139.17,139.81,0.64,8.43,2.89,23.5,27.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,139.17,139.81,0.64,8.43,2.89,23.5,27.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,139.81,140.78,0.97,40.71,23.15,1.49,115.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,139.81,140.78,0.97,40.71,23.15,1.49,115.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,140.78,141.75,0.97,8.75,1.39,1.5,9.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,140.78,141.75,0.97,8.75,1.39,1.5,9.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,141.75,142.57,0.82,33.7,29.11,2.11,158.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,141.75,142.57,0.82,33.7,29.11,2.11,158.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,142.57,143.39,0.82,33.88,20.1,2.78,157.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,142.57,143.39,0.82,33.88,20.1,2.78,157.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,143.39,144.37,0.98,35.6,32.11,1.26,222.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,143.39,144.37,0.98,35.6,32.11,1.26,222.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,144.37,145.0,0.63,34.55,33.03,1.36,210.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,144.37,145.0,0.63,34.55,33.03,1.36,210.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,145.0,145.92,0.92,34.98,26.73,1.79,192.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,145.0,145.92,0.92,34.98,26.73,1.79,192.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,145.92,146.91,0.99,30.94,24.79,2.66,163.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,145.92,146.91,0.99,30.94,24.79,2.66,163.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,146.91,147.41,0.5,29.5,28.1,3.61,145.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,146.91,147.41,0.5,29.5,28.1,3.61,145.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,147.41,148.14,0.73,26.84,20.09,3.28,113.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,147.41,148.14,0.73,26.84,20.09,3.28,113.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,148.14,148.86,0.72,4.09,0.34,2.28,11.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,148.14,148.86,0.72,4.09,0.34,2.28,11.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,148.86,149.48,0.62,7.79,1.2,2.19,23.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,148.86,149.48,0.62,7.79,1.2,2.19,23.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,149.48,150.33,0.85,17.31,12.51,8.73,131.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,149.48,150.33,0.85,17.31,12.51,8.73,131.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,150.33,151.0,0.67,20.54,13.36,8.55,156.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,150.33,151.0,0.67,20.54,13.36,8.55,156.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,151.0,151.76,0.76,19.88,7.38,8.83,78.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,151.0,151.76,0.76,19.88,7.38,8.83,78.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,151.76,152.81,1.05,9.79,2.11,12.3,459.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,151.76,152.81,1.05,9.79,2.11,12.3,459.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,152.81,153.42,0.61,12.86,0.66,2.45,75.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,152.81,153.42,0.61,12.86,0.66,2.45,75.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,153.42,154.32,0.9,15.2,6.78,5.9,468.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,153.42,154.32,0.9,15.2,6.78,5.9,468.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,154.32,155.27,0.95,24.6,12.04,3.38,147.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,154.32,155.27,0.95,24.6,12.04,3.38,147.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,155.27,156.09,0.82,17.83,1.85,3.15,154.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,155.27,156.09,0.82,17.83,1.85,3.15,154.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,156.09,157.0,0.91,17.18,7.59,3.97,345.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,156.09,157.0,0.91,17.18,7.59,3.97,345.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,157.0,158.0,1.0,21.3,10.01,3.13,211.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,157.0,158.0,1.0,21.3,10.01,3.13,211.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,158.0,159.0,1.0,27.03,9.19,1.31,93.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,158.0,159.0,1.0,27.03,9.19,1.31,93.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,159.0,160.0,1.0,17.48,11.26,1.52,451.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,159.0,160.0,1.0,17.48,11.26,1.52,451.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,160.0,161.0,1.0,12.11,3.2,4.31,246.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,160.0,161.0,1.0,12.11,3.2,4.31,246.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,161.0,161.67,0.67,10.79,0.68,4.51,156.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,161.0,161.67,0.67,10.79,0.68,4.51,156.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,161.67,162.37,0.7,8.68,2.39,7.39,176.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
3245/153,161.67,162.37,0.7,8.68,2.39,7.39,176.0,228646.8438,172080.4844,1134.775024,175.0,0.0,90.0
